CATEGORIA;centro_costo;fecha; monto_presupuestado ;version_presupuesto
Administración;OPE001;01-10-2025; 2.579.275 ;Forecast Q1
Activo Fijo;MKT001;01-04-2025; 1.593.387 ;Forecast Q1
Administración;INM003;01-09-2025; 1.733.732 ;Forecast Q1
Administración;MKT001;01-11-2025; 1.004.503 ;Forecast Q1
Administración;TEC001;01-09-2025; 2.134.247 ;Forecast Q1
Personal;MKT002;01-03-2025; 4.695.059 ;Budget
Activo Fijo;MKT002;01-01-2025; 1.694.201 ;Forecast Q2
Administración;OPE001;01-07-2025; 2.806.412 ;Forecast Q1
Activo Fijo;OPE001;01-02-2025; 998.861 ;Forecast Q2
Administración;OPE001;01-01-2025; 1.600.836 ;Budget
Personal;MKT001;01-06-2025; 5.820.590 ;Budget
Personal;TEC001;01-04-2025; 5.099.006 ;Forecast Q2
Personal;INM003;01-04-2025; 5.768.120 ;Forecast Q1
Administración;TEC001;01-11-2025; 2.682.627 ;Budget
Personal;TEC002;01-08-2025; 5.001.079 ;Forecast Q1
Activo Fijo;MKT002;01-06-2025; 1.650.364 ;Forecast Q1
Activo Fijo;INM003;01-05-2025; 2.248.455 ;Forecast Q1
Activo Fijo;TEC001;01-04-2025; 1.895.933 ;Forecast Q2
Administración;TEC001;01-05-2025; 2.358.995 ;Budget
Administración;INM003;01-02-2025; 1.542.409 ;Forecast Q1
Personal;MKT001;01-06-2025; 3.013.630 ;Forecast Q2
Activo Fijo;MKT001;01-09-2025; 2.352.018 ;Forecast Q1
Personal;MKT002;01-09-2025; 3.743.736 ;Forecast Q2
Activo Fijo;MKT001;01-04-2025; 2.172.218 ;Forecast Q1
Administración;TEC001;01-12-2025; 2.305.049 ;Forecast Q2
Administración;MKT002;01-07-2025; 2.251.067 ;Budget
Activo Fijo;INM003;01-08-2025; 1.659.604 ;Forecast Q2
Personal;TEC001;01-04-2025; 5.956.087 ;Forecast Q2
Activo Fijo;OPE001;01-05-2025; 2.346.501 ;Budget
Administración;MKT001;01-01-2025; 1.891.612 ;Forecast Q1
Administración;INM003;01-06-2025; 1.392.153 ;Forecast Q1
Activo Fijo;MKT002;01-12-2025; 1.172.507 ;Forecast Q2
Activo Fijo;OPE001;01-02-2025; 769.520 ;Forecast Q1
Personal;OPE001;01-02-2025; 3.974.705 ;Forecast Q1
Administración;TEC001;01-03-2025; 2.223.205 ;Budget
Personal;MKT002;01-02-2025; 4.194.400 ;Budget
Administración;MKT002;01-02-2025; 1.970.034 ;Budget
Personal;INM003;01-08-2025; 4.707.712 ;Forecast Q1
Administración;OPE001;01-07-2025; 2.724.995 ;Forecast Q1
Administración;OPE001;01-07-2025; 2.753.277 ;Forecast Q1
Activo Fijo;MKT001;01-01-2025; 2.466.868 ;Forecast Q1
Personal;TEC001;01-02-2025; 5.131.713 ;Budget
Personal;TEC001;01-07-2025; 4.490.206 ;Forecast Q2
Activo Fijo;OPE001;01-04-2025; 2.422.067 ;Forecast Q2
Activo Fijo;OPE001;01-06-2025; 1.774.740 ;Forecast Q2
Activo Fijo;TEC002;01-09-2025; 711.636 ;Forecast Q1
Personal;MKT002;01-06-2025; 3.717.211 ;Budget
Administración;MKT001;01-08-2025; 2.592.720 ;Budget
Administración;TEC002;01-10-2025; 2.626.076 ;Forecast Q1
Administración;MKT002;01-08-2025; 1.174.679 ;Forecast Q2
Administración;MKT002;01-05-2025; 1.325.258 ;Forecast Q1
Activo Fijo;INM003;01-01-2025; 886.229 ;Budget
Activo Fijo;MKT002;01-09-2025; 1.169.895 ;Forecast Q2
Administración;TEC002;01-06-2025; 1.077.388 ;Forecast Q2
Administración;TEC002;01-02-2025; 1.196.708 ;Forecast Q2
Activo Fijo;TEC002;01-04-2025; 1.423.511 ;Forecast Q2
Personal;INM003;01-04-2025; 5.129.059 ;Forecast Q1
Activo Fijo;TEC002;01-04-2025; 724.553 ;Budget
Administración;INM003;01-04-2025; 2.012.126 ;Budget
Administración;TEC001;01-01-2025; 1.501.728 ;Forecast Q1
Administración;TEC002;01-01-2025; 1.310.541 ;Forecast Q1
Personal;MKT002;01-02-2025; 3.760.282 ;Forecast Q1
Personal;INM003;01-12-2025; 5.116.575 ;Budget
Personal;INM003;01-09-2025; 3.607.886 ;Forecast Q1
Activo Fijo;TEC001;01-08-2025; 726.046 ;Budget
Activo Fijo;TEC001;01-03-2025; 1.137.476 ;Budget
Administración;TEC002;01-01-2025; 1.367.814 ;Budget
Personal;INM003;01-03-2025; 5.350.944 ;Budget
Personal;OPE001;01-09-2025; 5.480.952 ;Forecast Q1
Administración;INM003;01-07-2025; 1.391.265 ;Forecast Q2
Personal;TEC002;01-07-2025; 3.365.765 ;Forecast Q2
Personal;MKT002;01-02-2025; 3.322.755 ;Forecast Q2
Activo Fijo;TEC001;01-07-2025; 1.435.745 ;Forecast Q2
Personal;MKT002;01-04-2025; 5.255.623 ;Forecast Q1
Personal;MKT001;01-06-2025; 5.925.455 ;Forecast Q2
Personal;MKT001;01-11-2025; 5.703.021 ;Forecast Q2
Personal;OPE001;01-02-2025; 3.324.508 ;Budget
Administración;OPE001;01-08-2025; 1.190.492 ;Forecast Q2
Personal;TEC001;01-01-2025; 5.474.674 ;Forecast Q2
Personal;TEC002;01-09-2025; 3.401.540 ;Budget
Administración;TEC002;01-08-2025; 1.867.709 ;Budget
Personal;TEC001;01-02-2025; 3.331.535 ;Budget
Personal;MKT002;01-01-2025; 5.614.957 ;Forecast Q1
Administración;INM003;01-02-2025; 1.939.519 ;Forecast Q1
Personal;OPE001;01-05-2025; 4.167.502 ;Budget
Administración;MKT002;01-05-2025; 1.702.325 ;Budget
Administración;OPE001;01-11-2025; 2.735.563 ;Budget
Activo Fijo;MKT002;01-09-2025; 1.432.555 ;Budget
Administración;OPE001;01-02-2025; 1.455.926 ;Forecast Q2
Administración;MKT002;01-01-2025; 1.892.399 ;Budget
Administración;MKT002;01-07-2025; 2.679.436 ;Forecast Q1
Administración;OPE001;01-12-2025; 2.024.527 ;Forecast Q1
Administración;TEC002;01-07-2025; 1.397.174 ;Budget
Personal;OPE001;01-09-2025; 5.007.097 ;Forecast Q2
Administración;TEC001;01-09-2025; 2.632.002 ;Forecast Q1
Personal;TEC002;01-06-2025; 5.734.195 ;Forecast Q2
Administración;MKT001;01-12-2025; 1.139.893 ;Forecast Q2
Personal;TEC001;01-02-2025; 3.740.241 ;Budget
Personal;MKT002;01-08-2025; 5.230.675 ;Budget
Administración;MKT001;01-08-2025; 1.634.821 ;Budget
Activo Fijo;OPE001;01-04-2025; 2.206.539 ;Forecast Q2
Activo Fijo;TEC002;01-07-2025; 566.021 ;Budget
Administración;INM003;01-11-2025; 2.061.290 ;Budget
Administración;TEC001;01-09-2025; 2.350.901 ;Budget
Administración;OPE001;01-05-2025; 2.313.645 ;Forecast Q2
Administración;TEC002;01-06-2025; 2.102.815 ;Forecast Q1
Personal;MKT002;01-12-2025; 4.332.231 ;Forecast Q1
Personal;OPE001;01-02-2025; 4.210.204 ;Forecast Q2
Personal;OPE001;01-10-2025; 4.476.026 ;Forecast Q2
Administración;MKT002;01-02-2025; 1.406.616 ;Forecast Q2
Personal;OPE001;01-03-2025; 3.326.795 ;Forecast Q2
Activo Fijo;MKT001;01-09-2025; 706.493 ;Forecast Q2
Administración;MKT001;01-04-2025; 1.325.144 ;Forecast Q2
Activo Fijo;INM003;01-01-2025; 604.446 ;Forecast Q1
Administración;OPE001;01-02-2025; 2.285.628 ;Budget
Personal;TEC001;01-08-2025; 4.380.939 ;Forecast Q2
Administración;MKT002;01-06-2025; 2.464.585 ;Forecast Q1
Personal;MKT001;01-07-2025; 4.790.717 ;Forecast Q1
Administración;MKT002;01-08-2025; 1.161.851 ;Forecast Q2
Administración;TEC002;01-07-2025; 1.156.616 ;Budget
Personal;MKT001;01-01-2025; 3.513.811 ;Budget
Activo Fijo;TEC002;01-07-2025; 1.611.473 ;Forecast Q2
Administración;INM003;01-07-2025; 2.873.943 ;Forecast Q2
Activo Fijo;TEC002;01-05-2025; 2.096.007 ;Forecast Q2
Administración;TEC001;01-01-2025; 2.582.906 ;Budget
Administración;OPE001;01-04-2025; 1.180.774 ;Forecast Q1
Administración;TEC002;01-12-2025; 1.346.183 ;Forecast Q2
Personal;TEC002;01-01-2025; 5.200.255 ;Forecast Q1
Activo Fijo;TEC001;01-05-2025; 1.145.830 ;Forecast Q1
Activo Fijo;TEC001;01-06-2025; 2.343.925 ;Forecast Q2
Activo Fijo;TEC001;01-05-2025; 1.462.311 ;Forecast Q1
Personal;MKT001;01-03-2025; 5.773.943 ;Forecast Q1
Activo Fijo;MKT002;01-11-2025; 1.324.376 ;Forecast Q2
Personal;TEC001;01-02-2025; 4.882.968 ;Budget
Personal;MKT002;01-12-2025; 3.285.555 ;Budget
Personal;MKT001;01-10-2025; 3.254.890 ;Budget
Personal;MKT001;01-10-2025; 3.087.220 ;Budget
Administración;TEC001;01-08-2025; 1.947.328 ;Forecast Q2
Personal;MKT001;01-05-2025; 4.386.003 ;Forecast Q2
Administración;MKT002;01-01-2025; 1.884.443 ;Forecast Q1
Personal;TEC002;01-01-2025; 3.029.928 ;Forecast Q2
Activo Fijo;OPE001;01-10-2025; 1.393.568 ;Forecast Q1
Administración;TEC002;01-12-2025; 1.460.170 ;Forecast Q1
Activo Fijo;OPE001;01-03-2025; 594.020 ;Budget
Personal;OPE001;01-06-2025; 3.100.388 ;Forecast Q2
Personal;TEC002;01-12-2025; 5.160.055 ;Forecast Q1
Activo Fijo;TEC001;01-07-2025; 1.118.327 ;Budget
Activo Fijo;TEC002;01-01-2025; 868.782 ;Forecast Q2
Administración;INM003;01-11-2025; 1.720.387 ;Budget
Personal;INM003;01-02-2025; 4.019.025 ;Forecast Q2
Personal;OPE001;01-11-2025; 5.004.686 ;Forecast Q2
Personal;TEC002;01-12-2025; 3.235.854 ;Budget
Administración;OPE001;01-04-2025; 2.781.662 ;Budget
Personal;TEC001;01-02-2025; 4.585.884 ;Budget
Personal;TEC002;01-12-2025; 4.209.347 ;Forecast Q1
Activo Fijo;TEC002;01-11-2025; 2.043.700 ;Forecast Q1
Personal;TEC002;01-06-2025; 5.938.337 ;Forecast Q2
Administración;OPE001;01-08-2025; 1.261.602 ;Forecast Q2
Administración;OPE001;01-08-2025; 1.303.208 ;Budget
Personal;INM003;01-11-2025; 3.631.028 ;Forecast Q1
Administración;INM003;01-07-2025; 2.712.943 ;Budget
Administración;OPE001;01-09-2025; 2.146.924 ;Forecast Q2
Administración;TEC002;01-11-2025; 1.870.166 ;Forecast Q1
Activo Fijo;TEC002;01-05-2025; 943.160 ;Forecast Q1
Personal;MKT002;01-02-2025; 3.834.429 ;Forecast Q2
Personal;INM003;01-09-2025; 4.916.649 ;Budget
Activo Fijo;MKT002;01-11-2025; 1.659.844 ;Forecast Q1
Activo Fijo;OPE001;01-02-2025; 1.239.847 ;Budget
Administración;OPE001;01-08-2025; 1.064.131 ;Forecast Q1
Personal;TEC002;01-04-2025; 5.650.726 ;Forecast Q1
Personal;MKT001;01-11-2025; 3.978.668 ;Budget
Personal;TEC001;01-02-2025; 4.315.032 ;Forecast Q1
Administración;INM003;01-07-2025; 1.458.235 ;Forecast Q1
Personal;MKT001;01-03-2025; 5.230.002 ;Forecast Q1
Activo Fijo;TEC002;01-07-2025; 1.573.493 ;Budget
Personal;INM003;01-05-2025; 3.218.911 ;Forecast Q2
Activo Fijo;MKT001;01-07-2025; 1.062.088 ;Forecast Q1
Activo Fijo;INM003;01-05-2025; 1.012.932 ;Budget
Activo Fijo;MKT001;01-12-2025; 2.274.355 ;Budget
Activo Fijo;INM003;01-09-2025; 2.008.060 ;Budget
Personal;TEC001;01-10-2025; 4.939.142 ;Budget
Administración;OPE001;01-07-2025; 1.690.849 ;Forecast Q2
Activo Fijo;MKT002;01-11-2025; 1.025.564 ;Forecast Q2
Personal;TEC002;01-03-2025; 3.586.668 ;Budget
Administración;MKT001;01-03-2025; 1.666.413 ;Forecast Q1
Administración;MKT002;01-11-2025; 1.883.756 ;Forecast Q1
Activo Fijo;MKT001;01-01-2025; 2.129.112 ;Forecast Q2
Personal;OPE001;01-03-2025; 3.276.906 ;Budget
Administración;INM003;01-02-2025; 2.497.138 ;Budget
Activo Fijo;OPE001;01-01-2025; 1.715.760 ;Forecast Q1
Administración;TEC001;01-05-2025; 1.674.303 ;Forecast Q1
Administración;TEC002;01-04-2025; 1.970.294 ;Budget
Administración;INM003;01-04-2025; 2.646.559 ;Forecast Q2
Activo Fijo;MKT001;01-04-2025; 2.216.971 ;Forecast Q1
Personal;INM003;01-06-2025; 4.237.520 ;Forecast Q1
Administración;TEC002;01-12-2025; 1.525.972 ;Forecast Q1
Personal;TEC002;01-12-2025; 3.151.596 ;Forecast Q2
Activo Fijo;TEC001;01-02-2025; 835.782 ;Forecast Q2
Administración;MKT002;01-12-2025; 2.820.557 ;Budget
Personal;OPE001;01-04-2025; 4.120.555 ;Forecast Q2
Activo Fijo;TEC002;01-08-2025; 1.085.953 ;Forecast Q2
Administración;TEC002;01-11-2025; 1.035.049 ;Forecast Q1
Personal;TEC001;01-03-2025; 3.366.102 ;Budget
Activo Fijo;MKT002;01-07-2025; 1.721.041 ;Forecast Q2
Personal;INM003;01-02-2025; 5.081.447 ;Forecast Q2
Personal;OPE001;01-08-2025; 3.975.088 ;Forecast Q1
Administración;MKT001;01-08-2025; 2.622.360 ;Budget
Activo Fijo;OPE001;01-12-2025; 1.361.505 ;Forecast Q1
Administración;MKT001;01-04-2025; 2.761.235 ;Forecast Q2
Personal;TEC002;01-12-2025; 5.459.554 ;Forecast Q2
Administración;MKT002;01-06-2025; 1.684.664 ;Forecast Q1
Personal;TEC002;01-09-2025; 3.508.536 ;Forecast Q2
Activo Fijo;INM003;01-05-2025; 2.292.397 ;Budget
Personal;OPE001;01-08-2025; 5.096.156 ;Forecast Q2
Administración;TEC002;01-08-2025; 1.242.691 ;Budget
Personal;MKT001;01-07-2025; 4.824.317 ;Budget
Personal;INM003;01-03-2025; 5.202.241 ;Forecast Q1
Administración;TEC002;01-04-2025; 2.715.891 ;Budget
Personal;OPE001;01-03-2025; 4.810.388 ;Budget
Personal;TEC001;01-06-2025; 4.337.020 ;Budget
Personal;OPE001;01-03-2025; 5.419.533 ;Forecast Q2
Personal;MKT002;01-10-2025; 3.944.250 ;Forecast Q2
Personal;TEC002;01-02-2025; 4.554.682 ;Forecast Q1
Activo Fijo;TEC001;01-11-2025; 2.160.621 ;Budget
Activo Fijo;MKT002;01-10-2025; 827.027 ;Forecast Q1
Activo Fijo;TEC002;01-03-2025; 2.280.158 ;Forecast Q2
Activo Fijo;OPE001;01-10-2025; 2.040.803 ;Forecast Q2
Administración;MKT001;01-09-2025; 1.825.331 ;Budget
Activo Fijo;TEC002;01-02-2025; 1.103.811 ;Budget
Activo Fijo;OPE001;01-01-2025; 1.611.430 ;Budget
Administración;INM003;01-01-2025; 2.883.008 ;Budget
Activo Fijo;INM003;01-12-2025; 2.112.800 ;Budget
Personal;MKT001;01-11-2025; 4.776.280 ;Forecast Q1
Activo Fijo;MKT001;01-11-2025; 2.246.393 ;Budget
Administración;TEC002;01-02-2025; 2.681.775 ;Forecast Q2
Administración;TEC001;01-07-2025; 1.926.695 ;Budget
Personal;TEC002;01-09-2025; 5.280.880 ;Budget
Personal;INM003;01-06-2025; 4.833.180 ;Budget
Activo Fijo;MKT002;01-04-2025; 2.157.527 ;Forecast Q1
Administración;MKT002;01-02-2025; 2.988.085 ;Forecast Q1
Activo Fijo;OPE001;01-12-2025; 1.557.420 ;Budget
Administración;MKT001;01-07-2025; 2.420.541 ;Forecast Q1
Activo Fijo;TEC002;01-11-2025; 976.396 ;Forecast Q1
Activo Fijo;TEC001;01-01-2025; 603.870 ;Forecast Q1
Administración;INM003;01-02-2025; 2.836.939 ;Forecast Q1
Activo Fijo;MKT002;01-09-2025; 2.309.556 ;Budget
Activo Fijo;MKT002;01-02-2025; 946.247 ;Forecast Q1
Personal;TEC001;01-01-2025; 4.265.714 ;Budget
Activo Fijo;TEC001;01-03-2025; 1.497.775 ;Budget
Activo Fijo;OPE001;01-06-2025; 2.028.581 ;Forecast Q1
Activo Fijo;MKT002;01-10-2025; 1.484.215 ;Budget
Administración;TEC001;01-04-2025; 1.740.797 ;Forecast Q1
Personal;OPE001;01-01-2025; 4.178.961 ;Forecast Q2
Activo Fijo;INM003;01-05-2025; 2.442.837 ;Budget
Administración;INM003;01-08-2025; 1.598.469 ;Budget
Administración;MKT001;01-07-2025; 2.440.889 ;Forecast Q2
Administración;OPE001;01-05-2025; 2.037.874 ;Forecast Q2
Personal;TEC002;01-08-2025; 3.654.255 ;Budget
Activo Fijo;OPE001;01-10-2025; 1.633.998 ;Forecast Q1
Administración;TEC001;01-12-2025; 2.698.427 ;Forecast Q1
Personal;MKT001;01-10-2025; 3.079.909 ;Forecast Q1
Activo Fijo;MKT002;01-02-2025; 1.407.723 ;Forecast Q2
Personal;TEC001;01-03-2025; 3.216.590 ;Forecast Q2
Administración;OPE001;01-08-2025; 1.373.351 ;Budget
Personal;TEC002;01-08-2025; 5.209.911 ;Forecast Q2
Activo Fijo;MKT002;01-09-2025; 1.572.083 ;Forecast Q1
Administración;MKT002;01-11-2025; 1.448.500 ;Forecast Q1
Activo Fijo;MKT002;01-04-2025; 2.443.201 ;Forecast Q2
Personal;INM003;01-11-2025; 4.159.797 ;Forecast Q1
Activo Fijo;MKT002;01-02-2025; 2.385.836 ;Budget
Activo Fijo;INM003;01-04-2025; 1.590.319 ;Forecast Q2
Activo Fijo;TEC002;01-02-2025; 2.416.454 ;Forecast Q2
Administración;TEC001;01-12-2025; 1.005.050 ;Forecast Q1
Activo Fijo;MKT002;01-06-2025; 1.472.947 ;Budget
Administración;INM003;01-07-2025; 1.043.150 ;Forecast Q2
Administración;MKT002;01-08-2025; 2.450.820 ;Forecast Q2
Activo Fijo;INM003;01-07-2025; 1.597.797 ;Budget
Personal;MKT002;01-05-2025; 5.632.824 ;Budget
Administración;TEC001;01-07-2025; 1.497.368 ;Forecast Q2
Activo Fijo;OPE001;01-11-2025; 1.688.616 ;Budget
Administración;MKT002;01-03-2025; 2.561.525 ;Forecast Q2
Activo Fijo;MKT001;01-03-2025; 1.543.456 ;Forecast Q2
Personal;OPE001;01-04-2025; 5.813.742 ;Forecast Q2
Activo Fijo;INM003;01-03-2025; 1.057.760 ;Forecast Q1
Personal;TEC002;01-01-2025; 3.203.323 ;Forecast Q2
Personal;MKT002;01-04-2025; 4.586.017 ;Budget
Activo Fijo;INM003;01-09-2025; 651.222 ;Forecast Q1
Personal;TEC001;01-12-2025; 3.689.642 ;Forecast Q1
Activo Fijo;OPE001;01-11-2025; 1.836.019 ;Forecast Q2
Personal;MKT002;01-06-2025; 5.348.086 ;Forecast Q2
Personal;MKT001;01-04-2025; 3.077.206 ;Budget
Personal;MKT001;01-03-2025; 3.700.321 ;Budget
Administración;TEC001;01-03-2025; 1.025.088 ;Forecast Q1
Personal;TEC002;01-09-2025; 3.129.922 ;Forecast Q2
Personal;MKT001;01-05-2025; 4.399.029 ;Budget
Personal;INM003;01-06-2025; 4.932.649 ;Forecast Q1
Activo Fijo;MKT001;01-02-2025; 1.103.078 ;Forecast Q1
Activo Fijo;MKT002;01-06-2025; 684.552 ;Budget
Personal;TEC001;01-11-2025; 5.308.441 ;Forecast Q2
Activo Fijo;MKT001;01-04-2025; 1.463.196 ;Forecast Q2
Activo Fijo;MKT001;01-05-2025; 2.096.201 ;Forecast Q2
Administración;TEC001;01-08-2025; 1.525.175 ;Forecast Q2
Activo Fijo;INM003;01-11-2025; 1.553.067 ;Budget
Administración;MKT001;01-05-2025; 1.930.479 ;Budget
Administración;MKT001;01-11-2025; 2.779.879 ;Forecast Q2
Administración;MKT001;01-12-2025; 1.371.445 ;Forecast Q2
Administración;MKT002;01-03-2025; 2.540.619 ;Budget
Administración;TEC001;01-05-2025; 1.732.602 ;Budget
Personal;TEC001;01-05-2025; 5.803.000 ;Forecast Q1
Activo Fijo;TEC002;01-02-2025; 1.580.475 ;Budget
Personal;INM003;01-02-2025; 5.241.228 ;Budget
Activo Fijo;OPE001;01-11-2025; 1.857.663 ;Forecast Q2
Personal;MKT001;01-10-2025; 4.621.843 ;Budget
Administración;MKT001;01-04-2025; 2.355.044 ;Forecast Q2
Administración;OPE001;01-01-2025; 2.943.499 ;Forecast Q1
Administración;INM003;01-12-2025; 2.698.007 ;Budget
Activo Fijo;OPE001;01-03-2025; 2.057.038 ;Budget
Activo Fijo;INM003;01-07-2025; 541.211 ;Forecast Q1
Administración;OPE001;01-07-2025; 1.084.632 ;Budget
Personal;TEC002;01-08-2025; 5.459.739 ;Forecast Q2
Personal;OPE001;01-12-2025; 5.167.083 ;Forecast Q1
Activo Fijo;TEC001;01-03-2025; 2.226.812 ;Budget
Personal;OPE001;01-04-2025; 4.329.383 ;Budget
Administración;MKT002;01-09-2025; 1.887.219 ;Budget
Activo Fijo;OPE001;01-01-2025; 1.556.659 ;Forecast Q1
Personal;INM003;01-02-2025; 3.733.111 ;Forecast Q1
Activo Fijo;MKT002;01-01-2025; 610.833 ;Forecast Q2
Activo Fijo;TEC001;01-02-2025; 520.583 ;Forecast Q2
Activo Fijo;MKT002;01-10-2025; 504.150 ;Budget
Personal;MKT002;01-11-2025; 4.740.106 ;Forecast Q1
Activo Fijo;TEC001;01-01-2025; 1.326.580 ;Forecast Q1
Activo Fijo;TEC002;01-08-2025; 1.813.065 ;Budget
Administración;MKT001;01-07-2025; 1.060.834 ;Budget
Administración;MKT002;01-12-2025; 2.729.951 ;Forecast Q2
Activo Fijo;MKT001;01-08-2025; 963.948 ;Forecast Q2
Activo Fijo;MKT002;01-05-2025; 778.535 ;Forecast Q2
Administración;MKT002;01-11-2025; 1.368.141 ;Budget
Administración;TEC001;01-04-2025; 2.365.461 ;Forecast Q1
Personal;INM003;01-06-2025; 4.879.652 ;Budget
Personal;TEC002;01-07-2025; 4.084.078 ;Forecast Q2
Activo Fijo;TEC002;01-03-2025; 1.065.470 ;Forecast Q1
Activo Fijo;TEC001;01-03-2025; 2.444.648 ;Forecast Q1
Activo Fijo;INM003;01-03-2025; 725.244 ;Forecast Q1
Administración;MKT001;01-06-2025; 1.812.484 ;Budget
Activo Fijo;MKT001;01-07-2025; 2.034.193 ;Forecast Q2
Administración;OPE001;01-05-2025; 2.330.571 ;Forecast Q2
Administración;MKT001;01-12-2025; 1.331.102 ;Forecast Q2
Activo Fijo;OPE001;01-06-2025; 586.003 ;Forecast Q1
Administración;MKT001;01-08-2025; 2.376.988 ;Forecast Q1
Administración;OPE001;01-12-2025; 2.811.058 ;Budget
Activo Fijo;TEC002;01-02-2025; 1.259.746 ;Budget
Personal;OPE001;01-11-2025; 3.466.180 ;Forecast Q2
Administración;INM003;01-04-2025; 2.410.184 ;Forecast Q1
Activo Fijo;OPE001;01-04-2025; 1.757.091 ;Forecast Q1
Activo Fijo;INM003;01-02-2025; 1.469.232 ;Forecast Q2
Personal;OPE001;01-05-2025; 4.442.308 ;Budget
Personal;MKT001;01-03-2025; 4.802.844 ;Forecast Q1
Administración;TEC001;01-10-2025; 1.047.061 ;Forecast Q2
Administración;OPE001;01-04-2025; 1.855.947 ;Budget
Personal;INM003;01-10-2025; 3.196.444 ;Budget
Personal;MKT001;01-06-2025; 3.749.753 ;Forecast Q2
Personal;TEC001;01-10-2025; 3.174.802 ;Forecast Q2
Activo Fijo;TEC001;01-07-2025; 1.083.404 ;Forecast Q2
Activo Fijo;OPE001;01-11-2025; 660.141 ;Forecast Q1
Personal;TEC001;01-01-2025; 5.841.629 ;Forecast Q2
Activo Fijo;TEC002;01-09-2025; 1.364.207 ;Forecast Q1
Activo Fijo;TEC002;01-05-2025; 589.385 ;Forecast Q1
Personal;MKT001;01-01-2025; 5.284.595 ;Forecast Q2
Personal;INM003;01-03-2025; 4.357.747 ;Budget
Personal;OPE001;01-11-2025; 3.741.855 ;Forecast Q1
Administración;INM003;01-05-2025; 2.627.788 ;Forecast Q2
Personal;MKT001;01-06-2025; 4.056.120 ;Forecast Q2
Personal;INM003;01-09-2025; 4.966.319 ;Budget
Activo Fijo;INM003;01-02-2025; 2.410.458 ;Budget
Personal;MKT002;01-08-2025; 5.764.606 ;Budget
Activo Fijo;MKT001;01-10-2025; 2.131.261 ;Budget
Personal;INM003;01-10-2025; 3.511.626 ;Forecast Q1
Activo Fijo;MKT002;01-05-2025; 1.661.009 ;Budget
Administración;TEC001;01-04-2025; 2.100.030 ;Budget
Activo Fijo;OPE001;01-06-2025; 923.195 ;Forecast Q2
Personal;TEC001;01-03-2025; 5.729.926 ;Forecast Q2
Administración;MKT001;01-10-2025; 1.623.204 ;Forecast Q1
Activo Fijo;MKT001;01-01-2025; 1.391.270 ;Forecast Q2
Administración;INM003;01-07-2025; 1.985.319 ;Forecast Q2
Administración;TEC002;01-11-2025; 2.393.874 ;Forecast Q2
Administración;MKT002;01-02-2025; 1.393.437 ;Forecast Q1
Personal;TEC002;01-06-2025; 3.938.973 ;Forecast Q1
Activo Fijo;TEC001;01-11-2025; 2.391.667 ;Forecast Q1
Administración;TEC002;01-11-2025; 1.575.032 ;Forecast Q1
Activo Fijo;TEC001;01-01-2025; 2.219.943 ;Budget
Personal;MKT002;01-10-2025; 3.200.683 ;Budget
Activo Fijo;MKT002;01-09-2025; 623.037 ;Forecast Q1
Personal;MKT001;01-10-2025; 4.348.910 ;Forecast Q1
Activo Fijo;OPE001;01-03-2025; 617.312 ;Forecast Q1
Activo Fijo;OPE001;01-11-2025; 698.807 ;Forecast Q2
Activo Fijo;MKT001;01-12-2025; 1.835.049 ;Forecast Q2
Activo Fijo;INM003;01-03-2025; 2.155.192 ;Forecast Q1
Activo Fijo;MKT002;01-11-2025; 1.927.216 ;Budget
Personal;INM003;01-05-2025; 4.111.459 ;Forecast Q1
Administración;MKT002;01-09-2025; 1.493.943 ;Forecast Q1
Activo Fijo;MKT002;01-01-2025; 1.745.612 ;Budget
Personal;OPE001;01-05-2025; 5.272.339 ;Forecast Q1
Activo Fijo;MKT002;01-06-2025; 1.410.347 ;Forecast Q2
Administración;TEC001;01-06-2025; 2.663.678 ;Forecast Q2
Personal;TEC002;01-02-2025; 4.036.370 ;Forecast Q2
Activo Fijo;OPE001;01-10-2025; 732.871 ;Forecast Q1
Activo Fijo;TEC002;01-01-2025; 2.416.757 ;Forecast Q2
Administración;TEC001;01-04-2025; 2.860.672 ;Forecast Q1
Activo Fijo;INM003;01-06-2025; 676.236 ;Forecast Q1
Administración;OPE001;01-05-2025; 1.692.178 ;Forecast Q2
Administración;MKT002;01-08-2025; 2.905.315 ;Forecast Q1
Activo Fijo;OPE001;01-03-2025; 760.126 ;Forecast Q2
Personal;TEC002;01-11-2025; 3.035.384 ;Budget
Activo Fijo;TEC002;01-05-2025; 1.950.014 ;Forecast Q1
Administración;TEC001;01-08-2025; 1.243.323 ;Forecast Q1
Activo Fijo;OPE001;01-12-2025; 2.176.171 ;Forecast Q2
Administración;MKT001;01-11-2025; 1.295.624 ;Forecast Q1
Personal;INM003;01-10-2025; 3.099.025 ;Forecast Q1
Activo Fijo;MKT002;01-01-2025; 543.541 ;Forecast Q2
Personal;TEC002;01-01-2025; 3.714.450 ;Budget
Activo Fijo;INM003;01-10-2025; 1.920.017 ;Forecast Q1
Personal;INM003;01-12-2025; 4.239.619 ;Forecast Q2
Personal;OPE001;01-06-2025; 5.601.975 ;Budget
Activo Fijo;INM003;01-02-2025; 2.139.590 ;Forecast Q1
Personal;MKT001;01-09-2025; 3.023.650 ;Budget
Administración;OPE001;01-12-2025; 1.458.653 ;Forecast Q1
Administración;TEC002;01-02-2025; 1.878.232 ;Forecast Q1
